Region,Day,Cases,Population
Pakistan,1,0,240000000
Pakistan,2,0,240000000
Pakistan,3,1,240000000
Pakistan,4,0,240000000
Pakistan,5,2,240000000
Pakistan,6,0,240000000
Pakistan,7,1,240000000
Pakistan,8,0,240000000
Pakistan,9,0,240000000
Pakistan,10,1,240000000
India,1,0,1430000000
India,2,1,1430000000
India,3,1,1430000000
India,4,0,1430000000
India,5,3,1430000000
India,6,2,1430000000
India,7,0,1430000000
India,8,3,1430000000
India,9,2,1430000000
India,10,0,1430000000
UAE,1,0,10000000
UAE,2,0,10000000
UAE,3,3,10000000
UAE,4,4,10000000
UAE,5,5,10000000
UAE,6,0,10000000
UAE,7,6,10000000
UAE,8,7,10000000
UAE,9,8,10000000
UAE,10,0,10000000
Nigeria,1,5,223000000
Nigeria,2,7,223000000
Nigeria,3,10,223000000
Nigeria,4,12,223000000
Nigeria,5,15,223000000
Nigeria,6,26,223000000
Nigeria,7,21,223000000
Nigeria,8,25,223000000
Nigeria,9,30,223000000
Nigeria,10,35,223000000
DRC,1,8,111000000
DRC,2,20,111000000
DRC,3,23,111000000
DRC,4,29,111000000
DRC,5,45,111000000
DRC,6,60,111000000
DRC,7,80,111000000
DRC,8,95,111000000
DRC,9,160,111000000
DRC,10,180,111000000
