Region,Day,Cases,Population
Pakistan,1,0,240000000
Pakistan,2,0,240000000
Pakistan,3,1,240000000
Pakistan,4,0,240000000
Pakistan,5,1,240000000
Pakistan,6,2,240000000
Pakistan,7,1,240000000
Pakistan,8,0,240000000
Pakistan,9,4,240000000
Pakistan,10,5,240000000
Pakistan,11,6,240000000
Pakistan,12,7,240000000
Pakistan,13,6,240000000
Pakistan,14,5,240000000
Pakistan,15,8,240000000
Pakistan,16,7,240000000
Pakistan,17,11,240000000
Pakistan,18,10,240000000
Pakistan,19,9,240000000
Pakistan,20,13,240000000
Pakistan,21,13,240000000
Pakistan,22,14,240000000
Pakistan,23,13,240000000
Pakistan,24,16,240000000
Pakistan,25,17,240000000
Pakistan,26,17,240000000
Pakistan,27,18,240000000
Pakistan,28,20,240000000
Pakistan,29,23,240000000
Pakistan,30,23,240000000
India,1,0,1430000000
India,2,0,1430000000
India,3,0,1430000000
India,4,0,1430000000
India,5,1,1430000000
India,6,1,1430000000
India,7,3,1430000000
India,8,0,1430000000
India,9,4,1430000000
India,10,4,1430000000
India,11,5,1430000000
India,12,6,1430000000
India,13,6,1430000000
India,14,6,1430000000
India,15,9,1430000000
India,16,10,1430000000
India,17,11,1430000000
India,18,11,1430000000
India,19,12,1430000000
India,20,12,1430000000
India,21,13,1430000000
India,22,16,1430000000
India,23,16,1430000000
India,24,18,1430000000
India,25,21,1430000000
India,26,22,1430000000
India,27,22,1430000000
India,28,23,1430000000
India,29,24,1430000000
India,30,26,1430000000
UAE,1,0,10000000
UAE,2,0,10000000
UAE,3,1,10000000
UAE,4,0,10000000
UAE,5,2,10000000
UAE,6,2,10000000
UAE,7,4,10000000
UAE,8,0,10000000
UAE,9,3,10000000
UAE,10,4,10000000
UAE,11,7,10000000
UAE,12,7,10000000
UAE,13,8,10000000
UAE,14,7,10000000
UAE,15,10,10000000
UAE,16,11,10000000
UAE,17,13,10000000
UAE,18,11,10000000
UAE,19,13,10000000
UAE,20,15,10000000
